STATE,STNAME,CTYNAME,fips,state,Year,Population,Year_datetime
CA,California,Sacramento County,6067.0,CA,2002,1299105,2002-01-01
CA,California,San Benito County,6069.0,CA,2002,55217,2002-01-01
CA,California,San Bernardino County,6071.0,CA,2002,1800599,2002-01-01
CA,California,San Diego County,6073.0,CA,2002,2901235,2002-01-01
CA,California,San Francisco County,6075.0,CA,2002,779281,2002-01-01
CA,California,San Joaquin County,6077.0,CA,2002,608367,2002-01-01
CA,California,San Luis Obispo County,6079.0,CA,2002,252932,2002-01-01
CA,California,San Mateo County,6081.0,CA,2002,699043,2002-01-01
CA,California,Santa Barbara County,6083.0,CA,2002,402079,2002-01-01
CA,California,Santa Clara County,6085.0,CA,2002,1673028,2002-01-01
CA,California,Santa Cruz County,6087.0,CA,2002,253708,2002-01-01
CA,California,Shasta County,6089.0,CA,2002,171141,2002-01-01
CA,California,Sierra County,6091.0,CA,2002,3462,2002-01-01
CA,California,Siskiyou County,6093.0,CA,2002,43908,2002-01-01
CA,California,Solano County,6095.0,CA,2002,407855,2002-01-01
CA,California,Sonoma County,6097.0,CA,2002,463593,2002-01-01
CA,California,Stanislaus County,6099.0,CA,2002,477197,2002-01-01
CA,California,Sutter County,6101.0,CA,2002,81767,2002-01-01
CA,California,Tehama County,6103.0,CA,2002,57000,2002-01-01
CA,California,Trinity County,6105.0,CA,2002,13158,2002-01-01
CA,California,Tulare County,6107.0,CA,2002,378285,2002-01-01
CA,California,Tuolumne County,6109.0,CA,2002,55681,2002-01-01
CA,California,Ventura County,6111.0,CA,2002,776560,2002-01-01
CA,California,Yolo County,6113.0,CA,2002,180290,2002-01-01
CA,California,Yuba County,6115.0,CA,2002,62399,2002-01-01
CO,Colorado,Adams County,8001.0,CO,2002,371781,2002-01-01
CO,Colorado,Alamosa County,8003.0,CO,2002,15168,2002-01-01
CO,Colorado,Arapahoe County,8005.0,CO,2002,509598,2002-01-01
CO,Colorado,Archuleta County,8007.0,CO,2002,10951,2002-01-01
CO,Colorado,Baca County,8009.0,CO,2002,4331,2002-01-01
CO,Colorado,Bent County,8011.0,CO,2002,5903,2002-01-01
CO,Colorado,Boulder County,8013.0,CO,2002,281941,2002-01-01
CO,Colorado,Broomfield County,8014.0,CO,2002,42522,2002-01-01
CO,Colorado,Chaffee County,8015.0,CO,2002,16668,2002-01-01
CO,Colorado,Cheyenne County,8017.0,CO,2002,2100,2002-01-01
CO,Colorado,Clear Creek County,8019.0,CO,2002,9492,2002-01-01
CO,Colorado,Conejos County,8021.0,CO,2002,8299,2002-01-01
CO,Colorado,Costilla County,8023.0,CO,2002,3557,2002-01-01
CO,Colorado,Crowley County,8025.0,CO,2002,5792,2002-01-01
CO,Colorado,Custer County,8027.0,CO,2002,3667,2002-01-01
CO,Colorado,Delta County,8029.0,CO,2002,28764,2002-01-01
CO,Colorado,Denver County,8031.0,CO,2002,561072,2002-01-01
CO,Colorado,Dolores County,8033.0,CO,2002,1842,2002-01-01
CO,Colorado,Douglas County,8035.0,CO,2002,210037,2002-01-01
CO,Colorado,Eagle County,8037.0,CO,2002,44477,2002-01-01
CO,Colorado,Elbert County,8039.0,CO,2002,21779,2002-01-01
CO,Colorado,El Paso County,8041.0,CO,2002,544815,2002-01-01
CO,Colorado,Fremont County,8043.0,CO,2002,47197,2002-01-01
CO,Colorado,Garfield County,8045.0,CO,2002,46793,2002-01-01
CO,Colorado,Gilpin County,8047.0,CO,2002,4859,2002-01-01
CO,Colorado,Grand County,8049.0,CO,2002,12959,2002-01-01
CO,Colorado,Gunnison County,8051.0,CO,2002,14314,2002-01-01
CO,Colorado,Hinsdale County,8053.0,CO,2002,797,2002-01-01
CO,Colorado,Huerfano County,8055.0,CO,2002,7921,2002-01-01
CO,Colorado,Jackson County,8057.0,CO,2002,1521,2002-01-01
CO,Colorado,Jefferson County,8059.0,CO,2002,529191,2002-01-01
CO,Colorado,Kiowa County,8061.0,CO,2002,1485,2002-01-01
CO,Colorado,Kit Carson County,8063.0,CO,2002,8203,2002-01-01
CO,Colorado,Lake County,8065.0,CO,2002,7819,2002-01-01
CO,Colorado,La Plata County,8067.0,CO,2002,45979,2002-01-01
CO,Colorado,Larimer County,8069.0,CO,2002,265659,2002-01-01
CO,Colorado,Las Animas County,8071.0,CO,2002,15443,2002-01-01
CO,Colorado,Lincoln County,8073.0,CO,2002,5857,2002-01-01
CO,Colorado,Logan County,8075.0,CO,2002,21229,2002-01-01
CO,Colorado,Mesa County,8077.0,CO,2002,122131,2002-01-01
CO,Colorado,Mineral County,8079.0,CO,2002,857,2002-01-01
CO,Colorado,Moffat County,8081.0,CO,2002,13304,2002-01-01
CO,Colorado,Montezuma County,8083.0,CO,2002,23943,2002-01-01
CO,Colorado,Montrose County,8085.0,CO,2002,35108,2002-01-01
CO,Colorado,Morgan County,8087.0,CO,2002,27499,2002-01-01
CO,Colorado,Otero County,8089.0,CO,2002,19673,2002-01-01
CO,Colorado,Ouray County,8091.0,CO,2002,3914,2002-01-01
CO,Colorado,Park County,8093.0,CO,2002,15919,2002-01-01
CO,Colorado,Phillips County,8095.0,CO,2002,4521,2002-01-01
CO,Colorado,Pitkin County,8097.0,CO,2002,14909,2002-01-01
CO,Colorado,Prowers County,8099.0,CO,2002,14170,2002-01-01
CO,Colorado,Pueblo County,8101.0,CO,2002,146735,2002-01-01
CO,Colorado,Rio Blanco County,8103.0,CO,2002,5909,2002-01-01
CO,Colorado,Rio Grande County,8105.0,CO,2002,12157,2002-01-01
CO,Colorado,Routt County,8107.0,CO,2002,20446,2002-01-01
CO,Colorado,Saguache County,8109.0,CO,2002,6442,2002-01-01
CO,Colorado,San Juan County,8111.0,CO,2002,568,2002-01-01
CO,Colorado,San Miguel County,8113.0,CO,2002,7156,2002-01-01
CO,Colorado,Sedgwick County,8115.0,CO,2002,2673,2002-01-01
CO,Colorado,Summit County,8117.0,CO,2002,24966,2002-01-01
CO,Colorado,Teller County,8119.0,CO,2002,21276,2002-01-01
CO,Colorado,Washington County,8121.0,CO,2002,4943,2002-01-01
CO,Colorado,Weld County,8123.0,CO,2002,203570,2002-01-01
CO,Colorado,Yuma County,8125.0,CO,2002,9694,2002-01-01
CT,Connecticut,Fairfield County,9001.0,CT,2002,890635,2002-01-01
CT,Connecticut,Hartford County,9003.0,CT,2002,864497,2002-01-01
CT,Connecticut,Litchfield County,9005.0,CT,2002,185656,2002-01-01
CT,Connecticut,Middlesex County,9007.0,CT,2002,159207,2002-01-01
CT,Connecticut,New Haven County,9009.0,CT,2002,832376,2002-01-01
CT,Connecticut,New London County,9011.0,CT,2002,263098,2002-01-01
CT,Connecticut,Tolland County,9013.0,CT,2002,141963,2002-01-01
CT,Connecticut,Windham County,9015.0,CT,2002,110950,2002-01-01
DE,Delaware,Kent County,10001.0,DE,2002,131301,2002-01-01
DE,Delaware,New Castle County,10003.0,DE,2002,509113,2002-01-01
DE,Delaware,Sussex County,10005.0,DE,2002,163717,2002-01-01
FL,Florida,Alachua County,12001.0,FL,2002,223994,2002-01-01
FL,Florida,Baker County,12003.0,FL,2002,23143,2002-01-01
FL,Florida,Bay County,12005.0,FL,2002,152213,2002-01-01
FL,Florida,Bradford County,12007.0,FL,2002,26343,2002-01-01
FL,Florida,Brevard County,12009.0,FL,2002,494239,2002-01-01
FL,Florida,Broward County,12011.0,FL,2002,1698735,2002-01-01
FL,Florida,Calhoun County,12013.0,FL,2002,12745,2002-01-01
FL,Florida,Charlotte County,12015.0,FL,2002,149473,2002-01-01
FL,Florida,Citrus County,12017.0,FL,2002,123243,2002-01-01
FL,Florida,Clay County,12019.0,FL,2002,150645,2002-01-01
FL,Florida,Collier County,12021.0,FL,2002,275367,2002-01-01
FL,Florida,Columbia County,12023.0,FL,2002,58333,2002-01-01
